term,language,type,decade,count
gottes,German,common_term,1660,205
andere,Dutch,common_term,1660,147
vie,French,common_term,1660,490
reichs,German,common_term,1660,81
guerre,French,common_term,1660,99
doctoris,Latin,common_term,1660,251
historia,Spanish,common_term,1660,101
morte,Italian,common_term,1660,28
holy,English,common_term,1670,1720
guerre,French,common_term,1670,115
doctoris,Latin,common_term,1670,216
sancti,Latin,common_term,1670,218
man,English,common_term,1670,1355
heeren,Dutch,common_term,1670,326
vita,Italian,common_term,1670,241
vida,Spanish,common_term,1670,239
vie,French,common_term,1670,523
gottes,German,common_term,1670,177
reichs,German,common_term,1670,85
historia,Spanish,common_term,1670,120
morte,Italian,common_term,1670,71
andere,Dutch,common_term,1670,103
guerre,French,common_term,1680,150
man,English,common_term,1680,1061
holy,English,common_term,1680,2187
sancti,Latin,common_term,1680,206
heeren,Dutch,common_term,1680,446
vie,French,common_term,1680,519
vita,Italian,common_term,1680,180
doctoris,Latin,common_term,1680,265
reichs,German,common_term,1680,88
gottes,German,common_term,1680,204
historia,Spanish,common_term,1680,101
vida,Spanish,common_term,1680,231
andere,Dutch,common_term,1680,130
morte,Italian,common_term,1680,74
vie,French,common_term,1690,816
man,English,common_term,1690,975
holy,English,common_term,1690,1548
sancti,Latin,common_term,1690,215
doctoris,Latin,common_term,1690,135
gottes,German,common_term,1690,351
heeren,Dutch,common_term,1690,189
andere,Dutch,common_term,1690,119
reichs,German,common_term,1690,119
historia,Spanish,common_term,1690,102
vita,Italian,common_term,1690,156
guerre,French,common_term,1690,101
vida,Spanish,common_term,1690,143
morte,Italian,common_term,1690,42
sancti,Latin,common_term,16u0,7
man,English,common_term,16u0,54
vie,French,common_term,16u0,18
holy,English,common_term,16u0,9
vida,Spanish,common_term,16u0,13
historia,Spanish,common_term,16u0,6
vita,Italian,common_term,16u0,22
guerre,French,common_term,16u0,2
doctoris,Latin,common_term,16u0,9
morte,Italian,common_term,16u0,8
reichs,German,common_term,16u0,4
andere,Dutch,common_term,16u0,5
gottes,German,common_term,16u0,4
heeren,Dutch,common_term,16u0,9
heeren,Dutch,common_term,1700,189
vie,French,common_term,1700,516
reichs,German,common_term,1700,89
holy,English,common_term,1700,1646
sancti,Latin,common_term,1700,197
man,English,common_term,1700,1042
vita,Italian,common_term,1700,157
gottes,German,common_term,1700,427
doctoris,Latin,common_term,1700,146
morte,Italian,common_term,1700,34
andere,Dutch,common_term,1700,85
vida,Spanish,common_term,1700,105
guerre,French,common_term,1700,201
historia,Spanish,common_term,1700,97
man,English,common_term,1710,1018
reichs,German,common_term,1710,153
historia,Spanish,common_term,1710,57
holy,English,common_term,1710,1550
vie,French,common_term,1710,503
gottes,German,common_term,1710,387
guerre,French,common_term,1710,101
doctoris,Latin,common_term,1710,140
vita,Italian,common_term,1710,200
morte,Italian,common_term,1710,35
andere,Dutch,common_term,1710,37
heeren,Dutch,common_term,1710,129
sancti,Latin,common_term,1710,163
vida,Spanish,common_term,1710,99
holy,English,common_term,1720,1559
vie,French,common_term,1720,504
doctoris,Latin,common_term,1720,132
gottes,German,common_term,1720,420
vida,Spanish,common_term,1720,219
vita,Italian,common_term,1720,300
man,English,common_term,1720,900
sancti,Latin,common_term,1720,188
reichs,German,common_term,1720,127
guerre,French,common_term,1720,112
heeren,Dutch,common_term,1720,124
andere,Dutch,common_term,1720,84
historia,Spanish,common_term,1720,187
morte,Italian,common_term,1720,43
man,English,common_term,1730,1553
holy,English,common_term,1730,1118
vida,Spanish,common_term,1730,205
vie,French,common_term,1730,669
morte,Italian,common_term,1730,57
historia,Spanish,common_term,1730,171
gottes,German,common_term,1730,396
doctoris,Latin,common_term,1730,131
guerre,French,common_term,1730,153
sancti,Latin,common_term,1730,128
heeren,Dutch,common_term,1730,90
reichs,German,common_term,1730,120
vita,Italian,common_term,1730,273
andere,Dutch,common_term,1730,55
man,English,common_term,1740,1572
reichs,German,common_term,1740,134
sancti,Latin,common_term,1740,181
vida,Spanish,common_term,1740,164
vie,French,common_term,1740,536
holy,English,common_term,1740,1104
heeren,Dutch,common_term,1740,158
gottes,German,common_term,1740,571
vita,Italian,common_term,1740,292
guerre,French,common_term,1740,211
doctoris,Latin,common_term,1740,123
andere,Dutch,common_term,1740,66
historia,Spanish,common_term,1740,180
morte,Italian,common_term,1740,63
heeren,Dutch,common_term,1750,137
man,English,common_term,1750,1537
