term	language	type	decade	count
historia	Spanish	common_term	1590	216
morte	Italian	common_term	1590	88
gottes	German	common_term	1590	220
reichs	German	common_term	1590	85
vida	Spanish	common_term	1590	98
andere	Dutch	common_term	1590	20
law	Italian	search_term	15u0	4
republic	Latin	search_term	15u0	2
king, queen	English	search_term	15u0	9
right	Latin	search_term	15u0	11
right	English	search_term	15u0	5
justice	German	search_term	15u0	1
state	Spanish	search_term	15u0	2
right	Dutch	search_term	15u0	3
law	Spanish	search_term	15u0	1
nation, people	English	search_term	15u0	11
nation, people	French	search_term	15u0	2
king, queen	Spanish	search_term	15u0	5
king, queen	Latin	search_term	15u0	8
justice	French	search_term	15u0	3
science	French	search_term	15u0	1
violence	German	search_term	15u0	5
nation, people	German	search_term	15u0	1
nation, people	Italian	search_term	15u0	1
king, queen	French	search_term	15u0	1
science	Italian	search_term	15u0	1
king, queen	Italian	search_term	15u0	6
right	German	search_term	15u0	6
law	English	search_term	15u0	1
state	Italian	search_term	15u0	2
republic	French	search_term	15u0	1
nation, people	Spanish	search_term	15u0	1
republic	Spanish	search_term	15u0	1
republic	English	search_term	15u0	1
morte	Italian	common_term	15u0	8
vita	Italian	common_term	15u0	10
man	English	common_term	15u0	23
sancti	Latin	common_term	15u0	9
historia	Spanish	common_term	15u0	4
holy	English	common_term	15u0	6
gottes	German	common_term	15u0	10
heeren	Dutch	common_term	15u0	3
vie	French	common_term	15u0	3
doctoris	Latin	common_term	15u0	8
vida	Spanish	common_term	15u0	3
reichs	German	common_term	15u0	5
state	English	search_term	1600	451
king, queen	English	search_term	1600	2221
king, queen	French	search_term	1600	260
right	Latin	search_term	1600	601
king, queen	Latin	search_term	1600	484
king, queen	Italian	search_term	1600	106
philosophy	Italian	search_term	1600	13
nation, people	English	search_term	1600	270
right	English	search_term	1600	607
law	English	search_term	1600	181
state	Italian	search_term	1600	84
king, queen	Spanish	search_term	1600	191
right	German	search_term	1600	85
state	Spanish	search_term	1600	52
nation, people	Spanish	search_term	1600	39
republic	Latin	search_term	1600	164
republic	English	search_term	1600	109
philosophy	French	search_term	1600	34
law	Spanish	search_term	1600	54
law	Latin	search_term	1600	125
nation, people	French	search_term	1600	29
